Timestamp	Longitude	Latitude	Operatorname	Node	CellID	LAC	NetworkTech	Level	Qual	SNR	CQI	LTERSSI	EventType	EventDetails	State
2025.07.18_22.51.42	-17.438487	14.665947	Yas	5	16482	43	3G	-65	-6	-	-	-	CALL_END	608-02-43-5-16482 VOICE SEQUENCE:18	V
2025.07.18_22.52.08	-17.438452	14.666032	Yas	5	16482	43	3G	-67	-7	-	-	-	CALL_END	608-02-43-5-16482	I
2025.07.18_22.52.09	-17.438452	14.666032	Yas		0	0	2G	-113	-	-	-	-	CELL_RESELECTION_2G2G	608-02-43-5-16482-3060-499:608-02-0--0-0-0	I
2025.07.18_22.52.12	-17.438452	14.666032	Yas	1032	1	701	4G	-90	-7	0.0	-	-83	IRAT_HANDOVER_DATA_2G4G	608-02-0--0-0-0:608-02-701-1032-1-1850-132	I
2025.07.18_22.52.15	-17.438372	14.666082	Yas	1032	1	701	4G	-91	-8	0.0	-	-83		START PING	I
2025.07.18_22.52.20	-17.438372	14.666082	Yas	1032	1	701	4G	-92	-9	0.0	-	-85		START UPLOAD	D
2025.07.18_22.52.32	-17.438295	14.66602	Yas	1648	2	701	4G	-87	-8	0.0	-	-81	HANDOVER_DATA_4G4G	608-02-701-1032-1-1850-132:608-02-701-1648-2-1850-33	D
2025.07.18_22.52.33	-17.438295	14.66602	Yas	1648	2	701	4G	-87	-8	0.0	-	-81		START DOWNLOAD	D
2025.07.18_22.52.46	-17.438295	14.66602	Yas	1032	1	701	4G	-86	-7	0.0	-	-83	HANDOVER_DATA_4G4G	608-02-701-1648-2-1850-33:608-02-701-1032-1-1850-132	I
2025.07.18_22.52.54	-17.438295	14.66602	Yas		0	0	2G	-113	-	-	-	-	IRAT_HANDOVER_DATA_4G2G	608-02-701-1032-1-1850-132:608-02-0--0-0-0	D
2025.07.18_22.52.57	-17.438295	14.66602	Yas	1648	2	701	4G	-74	-8	0.0	-	-63	IRAT_HANDOVER_DATA_2G4G	608-02-0--0-0-0:608-02-701-1648-2-1850-33	I
2025.07.18_22.53.07	-17.438112	14.666003	Yas		0	0	2G	-113	-	-	-	-	IRAT_HANDOVER_DATA_4G2G	608-02-701-1648-2-1850-33:608-02-0--0-0-0	I
